source,object,text,rating,timestamp,url,author,extra_json,pii_emails,pii_phones,urls_in_text,mentions,hashtags,source_type,char_len,word_len,sent_count,place_id,timestamp_iso,year,month,dow,hour,dry_season_flag,profanity_flag,label_star,label_sentiment,parent_url,chunk_ix
google_maps,Mindil Beach Sunset Market,"I really enjoyed my 2 hours here and the Korean food I had, which was excellent, with lots of other national foods available. Certainly vibrant, and crowded, but parking was easy and plentiful, at least earlier in the evening. You can’t take a dog into the market, a shame but which is probably for the best as it was packed. The sunsets are fantastic to watch from here and even better from the vantage points on the dunes. It’s worth going to whilst on you travels",5.0,2025-09-16T23:36:22+00:00,https://maps.google.com/?cid=3049347746130946898,Paul Tooze (No Journey Too Small),"{""place_id"": ""ChIJsdqGY4ORwCwRUuvFdJ51USo"", ""reviews_sort"": ""most_relevant""}",0,0,,,,google,466,86,5,ChIJsdqGY4ORwCwRUuvFdJ51USo,2025-09-16 23:36:22,2025.0,9.0,2.0,9.0,1,0,5.0,pos,,
google_maps,Mindil Beach Sunset Market,"A great experience, a good range of food stalls and an amazing sunset to sit and watch. I visited about 12 years ago and these markets seemed to be lacking craft stalls this time, however was a good local experience. We had ice cream and watched some people perform at the stage area which was lovely. Parking was really easy too",4.0,2025-08-02T22:24:10+00:00,https://maps.google.com/?cid=3049347746130946898,Alicia Conway,"{""place_id"": ""ChIJsdqGY4ORwCwRUuvFdJ51USo"", ""reviews_sort"": ""most_relevant""}",0,0,,,,google,329,61,4,ChIJsdqGY4ORwCwRUuvFdJ51USo,2025-08-02 22:24:10,2025.0,8.0,6.0,7.0,1,0,4.0,pos,,
google_maps,Mindil Beach Sunset Market,"This is the most vibrant market I've been to in Australia. An abundance of quality food stalls, with cooking smells wafting across the site. Being able to sit on the sand and watch the sun setting over the water, as you enjoy your meal, is an unforgettable experience. Make sure to allow enough time to park, grab some food and get to the beach, so you don't miss the show! For those into arts, crafts, massage and face painting, you'll not be left wanting, either.",5.0,2025-08-06T02:46:29+00:00,https://maps.google.com/?cid=3049347746130946898,Rich A,"{""place_id"": ""ChIJsdqGY4ORwCwRUuvFdJ51USo"", ""reviews_sort"": ""most_relevant""}",0,0,,,,google,465,85,6,ChIJsdqGY4ORwCwRUuvFdJ51USo,2025-08-06 02:46:29,2025.0,8.0,2.0,12.0,1,0,5.0,pos,,
google_maps,Mindil Beach Sunset Market,"The Mindil Beach Markets are a must-visit — and it’s easy to see why they’re one of Darwin’s top attractions. The atmosphere was incredible, set right by the beach with a stunning sunset over the water that truly added to the magic. There’s a huge variety of food stalls offering global cuisines — from American and Southern European to Southeast Asian and classic Aussie — alongside quirky arts and crafts, all run by local vendors. Supporting NT small businesses made the experience even more meaningful. Live music and whip-cracking demonstrations added to the entertainment, and for something a little different, camel rides along the beach are also available. Facilities were thoughtfully laid out, with toilets at both ends, portable ATMs, and plenty of parking (we Ubered there with no trouble at all). Prices were a little above average, but that’s expected in Darwin. All in all, we had an amazing time — it’s absolutely worth planning your visit around a Thursday or Sunday evening to catch this vibrant, beachside market.",5.0,2025-08-05T15:45:43+00:00,https://maps.google.com/?cid=3049347746130946898,Helen Nguyen,"{""place_id"": ""ChIJsdqGY4ORwCwRUuvFdJ51USo"", ""reviews_sort"": ""most_relevant""}",0,0,,,,google,1032,170,9,ChIJsdqGY4ORwCwRUuvFdJ51USo,2025-08-05 15:45:43,2025.0,8.0,2.0,1.0,1,0,5.0,pos,,
google_maps,Mindil Beach Sunset Market,"I always visit the Mindil Beach Sunset Markets while I am in Darwin, as it is always a highlight for me:) The markets run every Thursday and Sunday from 4 pm to 9 pm, during the dry season which is late April through to late October. It does get extremely busy, so the crowds might not be for everyone. But the main attraction is the sunset. The view from Mindil Beach is pretty special; The sun looks bigger here as it sets right over the Arafura sea and you get that uninterrupted horizon. It’s one of those sunsets that really stops you in your tracks. Everyone claps when it is over because it is spectacular! There’s a great mix of street food stalls, local arts and crafts, and live music. I even saw people doing camel rides along the beach as the sun was coming down. Something to note – you can’t bring dogs into the market area, unless it’s a certified assistance dog. It’s a bit of a shame if you’re travelling with your pet, but good to know before you go. In July, the sun sets around 6.30 pm, so it’s worth getting there early to find a good spot, and get a good car park. If you’re visiting Darwin, this is a must-do – especially for that sunset.",5.0,2025-07-30T08:26:16+00:00,https://maps.google.com/?cid=3049347746130946898,Happy Diane,"{""place_id"": ""ChIJsdqGY4ORwCwRUuvFdJ51USo"", ""reviews_sort"": ""most_relevant""}",0,0,,,,google,1161,221,14,ChIJsdqGY4ORwCwRUuvFdJ51USo,2025-07-30 08:26:16,2025.0,7.0,2.0,17.0,1,0,5.0,pos,,
google_maps,Darwin Waterfront Precinct,"Coool place. Love how there’s a lot of restaurants with happy hours too amidst the salty pools, playgrounds and wave pool (Fee). So much to offer here’s there’s even a water playground (Fee). Great place to hang out and/or cool off!",5.0,2025-08-01T08:58:54+00:00,https://maps.google.com/?cid=7193196572956832844,Miss K,"{""place_id"": ""ChIJCUMSuwSRwCwRTDSmAixe02M"", ""reviews_sort"": ""most_relevant""}",0,0,,,,google,232,41,5,ChIJCUMSuwSRwCwRTDSmAixe02M,2025-08-01 08:58:54,2025.0,8.0,4.0,18.0,1,0,5.0,pos,,
google_maps,Darwin Waterfront Precinct,Didn't get any good photos of the area but others have. Very cool and relaxing spot. Got a bit of everything. Family outings to a few drinks with mates. Good to see random people coming together and playing beach volleyball.,5.0,2025-09-19T23:26:40+00:00,https://maps.google.com/?cid=7193196572956832844,Declan Dwyer,"{""place_id"": ""ChIJCUMSuwSRwCwRTDSmAixe02M"", ""reviews_sort"": ""most_relevant""}",0,0,,,,google,224,40,6,ChIJCUMSuwSRwCwRTDSmAixe02M,2025-09-19 23:26:40,2025.0,9.0,5.0,8.0,1,0,5.0,pos,,
google_maps,Darwin Waterfront Precinct,Loved this place. They have done an amazing job. Wave pool was fun for adults and kids and so many nice places around for lunch or just a drink. Can't wait to come back,5.0,2025-09-14T07:38:28+00:00,https://maps.google.com/?cid=7193196572956832844,Rachael Williams,"{""place_id"": ""ChIJCUMSuwSRwCwRTDSmAixe02M"", ""reviews_sort"": ""most_relevant""}",0,0,,,,google,168,34,4,ChIJCUMSuwSRwCwRTDSmAixe02M,2025-09-14 07:38:28,2025.0,9.0,6.0,17.0,1,0,5.0,pos,,
google_maps,Darwin Waterfront Precinct,"Lovely spot for a nice walk, meal or shopping. Very close to the convention center. The waterfront is beautiful to walk and you have decent choices for hotels and restaurants!",5.0,2025-09-03T05:33:08+00:00,https://maps.google.com/?cid=7193196572956832844,Jane Frances,"{""place_id"": ""ChIJCUMSuwSRwCwRTDSmAixe02M"", ""reviews_sort"": ""most_relevant""}",0,0,,,,google,175,30,4,ChIJCUMSuwSRwCwRTDSmAixe02M,2025-09-03 05:33:08,2025.0,9.0,2.0,15.0,1,0,5.0,pos,,
google_maps,Darwin Waterfront Precinct,Place is great for a day out plenty of food shops and picnic areas. There is a wave pool and free swimming area. Also a playground and good toilets. You can also go on the water obstacle course but will cost a family of 4 100 dollars. Bring the dog and the whole family. Safe swimming no crocks,5.0,2025-05-21T06:10:35+00:00,https://maps.google.com/?cid=7193196572956832844,Daniel Torrance,"{""place_id"": ""ChIJCUMSuwSRwCwRTDSmAixe02M"", ""reviews_sort"": ""most_relevant""}",0,0,,,,google,294,58,6,ChIJCUMSuwSRwCwRTDSmAixe02M,2025-05-21 06:10:35,2025.0,5.0,2.0,15.0,1,0,5.0,pos,,
